symbol,timeframe,test_period,market_condition,signal_threshold,atr_stop_mult,atr_profit_mult,position_size,leverage,total_trades,win_rate,total_return_pct,cagr,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,alpha,beta
BTC/USD,1h,Last_Week,High Volatility,60,1.5,3.0,0.25,1.0,21,0.14285714285714285,-0.029516189400266013,-0.9351561660141753,0.029516189400266013,-31.010520500370436,-31.01052050037044,0.7575291992616217,0.02234434412258899,0.04426195669196209
BTC/USD,1h,Last_Week,High Volatility,60,1.5,3.0,0.25,2.0,21,0.14285714285714285,-0.029516189400266013,-0.9351561660141753,0.029516189400266013,-31.010520500370436,-31.01052050037044,0.7575291992616217,0.02234434412258899,0.04426195669196209
BTC/USD,1h,Last_Week,High Volatility,60,1.5,4.0,0.25,1.0,21,0.14285714285714285,-0.02894174692873712,-0.931556065417732,0.02894174692873712,-28.841468156372024,-28.841468156372027,0.8107858484323169,0.022918786594117883,0.019002786035937035
BTC/USD,1h,Last_Week,High Volatility,60,1.5,4.0,0.25,2.0,21,0.14285714285714285,-0.02894174692873712,-0.931556065417732,0.02894174692873712,-28.841468156372024,-28.841468156372027,0.8107858484323169,0.022918786594117883,0.019002786035937035
BTC/USD,1h,Last_Week,High Volatility,60,2.0,3.0,0.25,1.0,21,0.14285714285714285,-0.029642706882723906,-0.9359235397887569,0.029642706882723906,-31.010520500370287,-31.01052050037029,0.7486164054555111,0.022217826640131097,0.044261956691967516
BTC/USD,1h,Last_Week,High Volatility,60,2.0,3.0,0.25,2.0,21,0.14285714285714285,-0.029642706882723906,-0.9359235397887569,0.029642706882723906,-31.010520500370287,-31.01052050037029,0.7486164054555111,0.022217826640131097,0.044261956691967516
BTC/USD,1h,Last_Week,High Volatility,60,2.0,4.0,0.25,1.0,21,0.14285714285714285,-0.029068339298600768,-0.9323660434402985,0.029068339298600768,-28.841468156370745,-28.84146815637075,0.8012485861943681,0.022792194224254235,0.01900278603593479
BTC/USD,1h,Last_Week,High Volatility,60,2.0,4.0,0.25,2.0,21,0.14285714285714285,-0.029068339298600768,-0.9323660434402985,0.029068339298600768,-28.841468156370745,-28.84146815637075,0.8012485861943681,0.022792194224254235,0.01900278603593479
BTC/USD,1h,Last_Week,High Volatility,60,2.5,3.0,0.25,1.0,21,0.14285714285714285,-0.029642706882723906,-0.9359235397887569,0.029642706882723906,-31.010520500370287,-31.01052050037029,0.7486164054555111,0.022217826640131097,0.044261956691967516
BTC/USD,1h,Last_Week,High Volatility,60,2.5,3.0,0.25,2.0,21,0.14285714285714285,-0.029642706882723906,-0.9359235397887569,0.029642706882723906,-31.010520500370287,-31.01052050037029,0.7486164054555111,0.022217826640131097,0.044261956691967516
